0,1,2,3,cluster
1935RF,130.916,4.659,2.2562,1
1941FD,132.2,4.7,2.13,1
1955QT,130.07,4.79,2.1893,1
1940YL,338.333,16.773,2.7465,
1953NH,339.625,16.067,2.7335,
1930SY,80.804,4.622,2.189,1
1949HM,80.804,4.622,2.1906,1
1929EC,115.072,2.666,3.1676,2
1948RO,89.9,2.1,3.35,2
1951AM,115.072,2.666,3.1676,2
1938DL,135.6,1,2.6,
1951AX,153.1,6.5,2.45,1
1924TZ,59.9,5.7,2.79,3
1931DQ,69.6,4.7,2.81,3
1936AB,78.1,6.6,2.9,3
1952DA,55.144,4.542,3.0343,3
1948RB,194.6,1.8,3.02,
1948RH,164.1,10,1.93,
1948TG,34.2,12.5,2.82,
