0,1,2,3,4,cluster
3.00, 0.00, 2.00, 1.00, 0.00,0
5.00, 0.00, 4.00, 1.00, 1.00,1
5.00, 0.00, 4.00, 1.00, 0.00,1
2.00, 0.00, 2.00, 1.00, 0.00,0
3.00, 0.00, 2.00, 1.00, 1.00,0
4.00, 0.00, 4.00, 1.00, 0.00,1
10.00, 0.00, 4.00, 1.00, 1.00,3
4.00, 0.00, 2.00, 1.00, 0.00,0
2.00, 0.00, 2.00, 1.00, 0.00,0
3.00, 1.00, 2.00, 1.00, 0.00,0
3.00, 1.00, 2.00, 1.00, 1.00,0
4.00, 0.00, 2.00, 1.00, 0.00,0
1.00, 0.00, 4.00, 2.00, 0.00,2
3.00, 0.00, 4.00, 1.00, 1.00,1
3.00, 0.00, 4.00, 1.00, 0.00,1
1.00, 0.00, 2.00, 1.00, 0.00,0
2.00, 0.00, 4.00, 2.00, 0.00,2
3.00, 0.00, 4.00, 1.00, 0.00,1
3.00, 0.00, 4.00, 1.00, 1.00,1
1.00, 0.00, 4.00, 1.00, 1.00,1
3.00, 0.00, 4.00, 1.00, 0.00,1
3.00, 0.00, 4.00, 1.00, 2.00,1
1.00, 0.00, 4.00, 3.00, 3.00,4
1.00, 1.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 2.00, 2.00,0
2.00, 1.00, 2.00, 1.00, 2.00,0
1.00, 0.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 1.00, 1.00,0
2.00, 1.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 2.00, 1.00,0
1.00, 1.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 1.00, 1.00,0
1.00, 1.00, 2.00, 1.00, 0.00,0
1.00, 1.00, 2.00, 1.00, 0.00,0
1.00, 1.00, 2.00, 1.00, 0.00,0
1.00, 1.00, 4.00, 1.00, 0.00,1
1.00, 1.00, 4.00, 1.00, 1.00,1
1.00, 1.00, 4.00, 1.00, 2.00,1
1.00, 1.00, 4.00, 1.00, 2.00,1
1.00, 1.00, 4.00, 1.00, 0.00,1
1.00, 1.00, 4.00, 1.00, 1.00,1
1.00, 1.00, 4.00, 1.00, 1.00,1
1.00, 1.00, 4.00, 1.00, 0.00,1
1.00, 2.00, 4.00, 1.00, 2.00,1
1.00, 1.00, 4.00, 1.00, 1.00,1
1.00, 1.00, 4.00, 1.00, 0.00,1
1.00, 1.00, 4.00, 1.00, 1.00,1
1.00, 1.00, 4.00, 1.00, 0.00,1
1.00, 1.00, 4.00, 1.00, 1.00,1
1.00, 1.00, 4.00, 1.00, 1.00,1
1.00, 1.00, 4.00, 1.00, 0.00,1
1.00, 1.00, 4.00, 1.00, 0.00,1
1.00, 1.00, 4.00, 1.00, 0.00,1
1.00, 1.00, 4.00, 1.00, 1.00,1
1.00, 1.00, 4.00, 1.00, 0.00,1
1.00, 1.00, 4.00, 1.00, 1.00,1
