0,1,2,3,4,cluster
3.00, 0.00, 2.00, 1.00, 0.00,4
5.00, 0.00, 4.00, 1.00, 1.00,2
5.00, 0.00, 4.00, 1.00, 0.00,2
2.00, 0.00, 2.00, 1.00, 0.00,4
3.00, 0.00, 2.00, 1.00, 1.00,4
4.00, 0.00, 4.00, 1.00, 0.00,2
10.00, 0.00, 4.00, 1.00, 1.00,2
4.00, 0.00, 2.00, 1.00, 0.00,4
2.00, 0.00, 2.00, 1.00, 0.00,4
3.00, 1.00, 2.00, 1.00, 0.00,0
3.00, 1.00, 2.00, 1.00, 1.00,0
4.00, 0.00, 2.00, 1.00, 0.00,4
1.00, 0.00, 4.00, 2.00, 0.00,1
3.00, 0.00, 4.00, 1.00, 1.00,2
3.00, 0.00, 4.00, 1.00, 0.00,2
1.00, 0.00, 2.00, 1.00, 0.00,4
2.00, 0.00, 4.00, 2.00, 0.00,2
3.00, 0.00, 4.00, 1.00, 0.00,2
3.00, 0.00, 4.00, 1.00, 1.00,2
1.00, 0.00, 4.00, 1.00, 1.00,2
3.00, 0.00, 4.00, 1.00, 0.00,2
3.00, 0.00, 4.00, 1.00, 2.00,2
1.00, 0.00, 4.00, 3.00, 3.00,1
1.00, 1.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 1.00, 1.00,4
1.00, 0.00, 2.00, 1.00, 1.00,4
1.00, 0.00, 2.00, 1.00, 1.00,4
1.00, 0.00, 2.00, 1.00, 1.00,4
1.00, 0.00, 2.00, 1.00, 1.00,4
1.00, 0.00, 2.00, 2.00, 2.00,4
2.00, 1.00, 2.00, 1.00, 2.00,0
1.00, 0.00, 2.00, 1.00, 1.00,4
1.00, 0.00, 2.00, 1.00, 1.00,4
2.00, 1.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 2.00, 1.00,4
1.00, 1.00, 2.00, 1.00, 1.00,0
1.00, 0.00, 2.00, 1.00, 1.00,4
1.00, 0.00, 2.00, 1.00, 1.00,4
1.00, 1.00, 2.00, 1.00, 0.00,0
1.00, 1.00, 2.00, 1.00, 0.00,0
1.00, 1.00, 2.00, 1.00, 0.00,0
1.00, 1.00, 4.00, 1.00, 0.00,3
1.00, 1.00, 4.00, 1.00, 1.00,3
1.00, 1.00, 4.00, 1.00, 2.00,3
1.00, 1.00, 4.00, 1.00, 2.00,3
1.00, 1.00, 4.00, 1.00, 0.00,3
1.00, 1.00, 4.00, 1.00, 1.00,3
1.00, 1.00, 4.00, 1.00, 1.00,3
1.00, 1.00, 4.00, 1.00, 0.00,3
1.00, 2.00, 4.00, 1.00, 2.00,3
1.00, 1.00, 4.00, 1.00, 1.00,3
1.00, 1.00, 4.00, 1.00, 0.00,3
1.00, 1.00, 4.00, 1.00, 1.00,3
1.00, 1.00, 4.00, 1.00, 0.00,3
1.00, 1.00, 4.00, 1.00, 1.00,3
1.00, 1.00, 4.00, 1.00, 1.00,3
1.00, 1.00, 4.00, 1.00, 0.00,3
1.00, 1.00, 4.00, 1.00, 0.00,3
1.00, 1.00, 4.00, 1.00, 0.00,3
1.00, 1.00, 4.00, 1.00, 1.00,3
1.00, 1.00, 4.00, 1.00, 0.00,3
1.00, 1.00, 4.00, 1.00, 1.00,3
