Read Time: 0.015974998474121094
Processing Time: 0.007993221282958984
Number of Iterations: 64

Damping Factor: 0.85

Rank    Node                          Page Rank           
1.0     Vau                           0.000004912770072002
2.0     Trigger                       0.000004609425069077
3.0     Web                           0.000003513283351209
4.0     TSN103                        0.000002674589600815
5.0     TR99                          0.000002354702592005
6.0     TR77                          0.000002310010080165
7.0     Zipfel                        0.000001816811111279
8.0     SN9                           0.000001729059102341
9.0     Zap                           0.000001622035997870
10.0    Number1                       0.000001504121013440
11.0    Upbang                        0.000001460841847744
12.0    TR88                          0.000001455978487663
13.0    Thumper                       0.000001097862903452
14.5    TR120                         0.000001046300833375
14.5    TSN83                         0.000001046300833375
16.0    Stripes                       0.000000908687802017
17.0    Topless                       0.000000766839173025
18.0    Zig                           0.000000692675112546
19.0    SN96                          0.000000655375718306
20.0    Ripplefluke                   0.000000555710450755
21.0    Notch                         0.000000546022897418
22.0    PL                            0.000000538331448893
23.0    SN4                           0.000000495540622768
24.0    Whitetip                      0.000000470984943140
25.0    SMN5                          0.000000443831052421
26.0    SN90                          0.000000413923980393
27.5    MN23                          0.000000410822541865
27.5    Quasi                         0.000000410822541865
29.0    Wave                          0.000000408331119923
30.0    Oscar                         0.000000395218139464
31.0    SN89                          0.000000395178034468
32.0    SN63                          0.000000334426748274
33.0    Patchback                     0.000000307322643968
34.0    MN83                          0.000000297659870681
35.0    Jet                           0.000000274374654219
36.0    Mus                           0.000000273383221002
37.0    Knit                          0.000000272137510031
38.0    Shmuddel                      0.000000271313482649
39.0    SN100                         0.000000258758830885
40.0    Scabs                         0.000000242181528694
41.0    Gallatin                      0.000000228575568340
42.0    Fish                          0.000000226739640067
43.0    Kringel                       0.000000218471202442
44.0    Feather                       0.000000190421344095
45.0    Hook                          0.000000168640373250
46.0    MN105                         0.000000168490161429
47.0    Double                        0.000000163182622117
48.0    Grin                          0.000000163182622117
49.0    Jonah                         0.000000162432940074
50.0    Haecksel                      0.000000158642835120
56.5    Fork                          0.000000135943900138
56.5    MN60                          0.000000135943900138
56.5    TR82                          0.000000135943900138
56.5    DN63                          0.000000135943900138
56.5    DN21                          0.000000135943900138
56.5    DN16                          0.000000135943900138
56.5    Cross                         0.000000135943900138
56.5    CCL                           0.000000135943900138
56.5    Bumper                        0.000000135943900138
56.5    Beescratch                    0.000000135943900138
56.5    Five                          0.000000135943900138
56.5    Beak                          0.000000135943900138
